Peak Name,Elapsed Time,Source Name,A,mu,sigma,C,sigma / sqrt(N)
Peak_1,6112.56,Mn54,1558.707434247877,76.33433792404506,2854.587840317946,-1557.7664040255374,0.4814137503193458
Peak_2,6112.56,Mn54,1.7581172472753777,390.55028527959144,11.845410091601721,0.10310843994540575,0.001420454891785119
Peak_3,6112.56,Mn54,0.012505229231743822,671.6550047198538,14.051457796004968,0.00873023254360567,0.015774928282885403
